,Role,First,Given,Affiliation
0,Papers Chairs,Nan,Cao,"Tongji University, China"
1,Papers Chairs,Timo,Ropinski,"Ulm University, Germany"
2,Papers Chairs,Jian,Zhao,"University of Waterloo, Canada"
3,Papers PC,An,Pengcheng,
4,Papers PC,Bruckner,Stefan,
5,Papers PC,Chen,Guoning,
6,Papers PC,Chen,Qing,
7,Papers PC,Chen,Siming,
8,Papers PC,Chen,Zhutian,
9,Papers PC,Cui,Weiwei,
10,Papers PC,Didimo,Walter,
11,Papers PC,Du,Fan,
12,Papers PC,Dutta,Soumya,
13,Papers PC,Fujishiro,Issei,
14,Papers PC,Garth,Christoph,
15,Papers PC,Guo,Hanqi,
16,Papers PC,Guo,Shunan,
17,Papers PC,Hadwiger,Markus,
18,Papers PC,He,Wenbin,
19,Papers PC,Hong,Seokhee,
20,Papers PC,Itoh,Takayuki,
21,Papers PC,Jang,Yun,
22,Papers PC,Ko,Sungahn,
23,Papers PC,Kobourov,Stephen,
24,Papers PC,Koyamada,Koji,
25,Papers PC,Krone,Michael,
26,Papers PC,Kwon,Bum Chul,
27,Papers PC,Kwon,Oh-Hyun,
28,Papers PC,Liotta,Giuseppe,
29,Papers PC,Liu,Zhicheng,
30,Papers PC,Lu,Aidong,
31,Papers PC,Lu,Min,
32,Papers PC,Ma,Kwan-Liu,
33,Papers PC,Matkovic,Kresimir,
34,Papers PC,Rosen,Paul,
35,Papers PC,Schultz,Thomas,
36,Papers PC,Shi,Yang,
37,Papers PC,Speckmann,Bettina,
38,Papers PC,Sun,Maoyuan,
39,Papers PC,Wang,Bei,
40,Papers PC,Wang,Chaoli,
41,Papers PC,Wang,Junpeng,
42,Papers PC,Wang,Yong,
43,Papers PC,Wang,Yun,
44,Papers PC,Wang,Yunhai,
45,Papers PC,Weinkauf,Tino,
46,Papers PC,Wu,Hsiang-Yun,
47,Papers PC,Wu,Yingcai,
48,Papers PC,Xia,Jiazhi,
49,Papers PC,Xu,Ke,
50,Papers PC,Xu,Panpan,
51,Papers PC,Yen,Hsu-Chun,
52,Papers PC,Yu,Hongfeng,
53,Papers PC,Zhang,Yue,
54,Papers PC,Zhao,Ying,
55,Papers PC,Zhong,Zichun,
