,Year,City,Dates,URL
0,2021,Tianjin,Apr 19 - Apr 21,http://vis.tju.edu.cn/pvis2021/
1,2020,Tianjin,Jun 3 - Jun 5,http://vis.tju.edu.cn/pvis2021/
2,2019,Bangkok,Apr 23 - Apr 26,http://pvis2019.cbs.chula.ac.th/home.aspx
3,2018,Kobe,Apr 10 - Apr 13,http://itolab.is.ocha.ac.jp/pvis2018/
4,2017,Seoul,Apr 18 - Apr 21,http://pacificvis.snu.ac.kr/
5,2016,Taipei,Apr 19 - Apr 22,http://graphics.csie.ntust.edu.tw/graphics/Vis_2016/index.html
6,2015,Hangzhou,Apr 14 - Apr 17,http://www.cad.zju.edu.cn/home/pvis2015/
7,2014,Yokohama,Mar 04 - Mar 07,http://www.fj.ics.keio.ac.jp/pvis2014/guideline_v.html
8,2013,Sydney,Feb 26 - Mar 01,http://sydney.edu.au/engineering/it/groups/visual/pvis2013/welcome/index.php
9,2012,Songdo,Feb 28 - Mar 02,http://hcil.snu.ac.kr/PacificVis2012
10,2011,Hong,Mar 01 - Mar 04,http://i.cs.hku.hk/~pvis2011/
11,2010,Taipei,Mar 02 - Mar 05,http://graphics.csie.ntu.edu.tw/pvis2010/
12,2009,Beijing,Apr 20 - Apr 23,http://vis.pku.edu.cn/pvs2009/
13,2008,Kyoto,Mar 04 - Mar 07,http://www.viz.media.kyoto-u.ac.jp/conf/pvis2008/
